full_text,filtered
CEO udh gak jd kasir. Sekarang lagi mengabdi di perusahaan H. ujang. Alasan pindah karena di H. Ujang gajinya UMK Bangladesh,kasir abdi ujang ujang gaji bangladesh
Menurut gw kurang tepat. 2-3 tahun di perusahaan jelek itu ga bikin berkembang. Kelamaan. Ngedumel doang isinya karena proses kerja ga ajeg dan dapet capek. Kalau dpt tempat kerja jelek yaudah terima tp jgn lama-lama kerja di tempat gitu buat dpt hikmahnya doang. cari yg bagusan,kurang jelek kembang doang proses ajeg capek tempat jelek tempat hikmah doang bagus
Karakteristik loker di Indo (Subjektif) 1. Tidak pandang Ijazah (kerja keras angkat²) 2. Tahan Ijazah (Lingkungan toxic akhirnya gaada yg tahan perusahaan tdk suka sama orang yg cepet pindah) *alasan lain berlaku 3. Good looking (ngurusin penjualan tpi tdk laku)-,karakteristik loker indonesia subjektif pandang ijazah keras angkat tahan ijazah jahat tahan suka cepat laku urus jual laku
Gue pegang divisi tersebut in operational way nya atasan gue in marketing / sales side nya. Gue bertahan disana cuman 2 tahun aja. Alasan pindah? Gue ga berkembang. Baik secara ilmu atau karir. Dan gue keterima di PMA Jepang dan perusahaan gede. Multinational.,pegang divisi tahan cuman kembang ilmu karir jepang besar
Gais aku kan sourcing kandidat yak. Terus nemu ada pelamar yang alasan pindah adalah ingin memperbaiki taraf hidup dan gaji lebih baik. Terus pas aku lihat boom gaji tempat sebelumnya tu 25 jt dan dia ngelamar d perusahaan tempat aku kerja itu harapan gajinya 27jt (negotiable) -,kandidat lamar taraf hidup gaji lihat gaji tempat juta tempat harap gaji
@ibamarief Penasaran kalo dari POV CTO mas. Kandidat kalo di perusahaan sebelumnya pindah alasan utamanya bukan karna kenaikan gaji tapi ngerasa skill mentok dan ga dikasih ruang untuk inovate. Aku ngerasa dulu mentok di company sebelumnya tp di tempat skrg justru seru,penasaran kandidat utama naik gaji rasa mentok kasih ruang rasa mentok tempat seru
&gt; Neo Historia: krn uang perusahaan 24jt dibawa kabur sama mantan manajer keuangan &gt; Dari sisi si manajer keuangan: dia bawa kabur krn gaji dia blm dibayarkan krn keuangan perusahaan buruk. Keuangan perusahaan buruk krn leader suka ambil uang perusahaan utk urusan pribadi (2/4),uang bawa kabur mantan manajer uang sisi manajer uang bawa kabur gaji bayar uang buruk uang buruk suka ambil uang urus pribadi
apa sih penyebabnya? - karena stress dan kecemasan yang berlebih akibat tekanan pekerjan atau kehidupan pribadi. - lelah fisik dan mental karena terus dipaksa - kurang inspirasi yang disebabkan oleh lingkungan dan rutinitas yang monoton - terlalu perfeksionis alias fokus pada,stres cemas akibat tekan hidup pribadi lelah fisik mental paksa kurang inspirasi rutinitas monoton perfeksionis alias fokus
Bbrp keputusan leader yg diduga bikin keuangan buruk: &gt; Ngambil apartemen cicilan dibebankan ke perusahaan. &gt; Bbrp kesalahan dalam kelola bisnis travel dan F&amp;B yg makin nguras kas &gt; Mendahulukan bayar apartemen daripada gajian &gt; Suka tarik uang sepihak gak ngabarin (3/4),putus duga uang buruk apartemen cicil beban salah kelola bisnis bayar apartemen gaji suka tarik uang
Work! Pernah ga lo resign dari perusaahan bonafit grgr suatu alasan pdhl gaji gede ada yearly bonus terus pindah ke perusahaan yg lebih kecil dan gaji juga kecil. Ada rasa nyesel ga? Kalo ada gmn overcame nya?,gara-gara gaji besar bonus kecil gaji kecil rasa sesal
Kayaknya rame disclaimer dulu: - Postingan tidak untuk digeneralisasi baca bio. - Postingan hanya menunjukan sisi 'positif'nya sebagai kutu loncat. - I personally pindah karena selalu di-hijack &amp; diberikan offering posisi &amp; salary yang lebih tinggi kalau nggak di offer nggak,rame generalisasi baca sisi positif kutu loncat posisi gaji
work! kalo ada rekan kerja kalian dari perusahaan sebelumnya nanya alasan resign (posisinya kalian udah pindah dan ga di situ lagi) kalian jawab ga?,rekan posisi situ
@indrahasto @bukutulisQ @ardisatriawan Berati bapak sekarang pindah ke luar ya pak alasan paling kuat u/ resign ya karena gaji nya segitu ya pak.? Apa setelah resign dari bumn Bpk melihat gaji sbg pertimbangan masuk ke seuatu perusahaan pak? Saya lagi bingung jg sih pk. Terima kasih sharingnya pak,arti kuat gaji bumn lihat gaji timbang bingung pakai kasih
@worksfess Akulah si rela downgrade itu. Alasannya karena perusahaan yang baru dekat bgt dengan rumah jadi meski gajinya lebih kecil tapi ongkos transpor hampir nol rupiah wkwk. Gak nyesel karena lebih banyak enaknya.,rela dekat rumah gaji kecil ongkos transpor rupiah sesal enak
@worksfess Sebaiknya saat ditanya alasan resign jawab dengan tindakan yang akan kamu lakukan selanjutnya. Misal: Mau cari pengalaman baru 1️⃣ Jelaskan bahwa kamu ingin mencari peluang baru yang sesuai dengan tujuan karir dan keahlianmu 2️⃣ Sebutkan keinginanmu untuk berkembang ️,tindak laku alam peluang sesuai tuju karir ahli kembang
Beberapa kali pindah company menyadarkan aing bahwa Orang orang tolol dan toxic selalu ada di tiap perusahaan. alasan bertahan hanya ada di paycheck slip di akhir bulan,sadar tolol jahat tahan slip
@worksfess Saat ditanya alasan resign sebaiknya emang jangan terlalu berterus terang. Alternatifnya bisa jawab gini: Lingkungan toxic Saya mencari lingkungan kerja yang lebih mendukung pengembangan diri serta memberikan kesempatan untuk tumbuh dan berkembang secara profesional ,terang alternatif jahat dukung kembang tumbuh kembang profesional
&gt; pas masuk gak ada NCA (Non-Competitive Agreement) baru pas 16-17 bln kerja muncul agreement tsb. Klo gamau ttd diminta resign. Terpaksa ttd &gt; tergugat ngaku resign krn hak2nya kayak insentif sales dr 2023 dan gaji terakhir gak dibayar &gt; copy perjanjian gak dikasih (2/3),muncul paksa gugat insentif gaji bayar janji kasih
Resign without any plan cuz my mental health is everything! Anxiety attack beberapa kali since working with toxic bosses. Now am happy got new job and do whatever i want. Titik,plan mental jahat titik
@alief_an Kerja sebaik2nya itu efeknya ke diri sendiri. Skill nambah gaji meningkat disukai perusahaan daya tawar makin tinggi. Bahwa seseorang resign trus langsung ada gantinya ya karena nature bisnis begitu harus bergerak cepat. Ini bukan alasan buat kamu kerja seadanya.,efek gaji tingkat suka daya tawar langsung ganti bisnis gerak cepat
Setiap ofis mesti ada sorang member ni kata nak resign sebab stress dengan boss lah work enviroment toxic lah gaji sikit lah tapi tak resign2 lagi. Last last orang lain jugak yang resign kerja.. ,mesti sorang stres jahat gaji sikit
Kudapan wajib saat lembur meeting project training dan traktiran resign. https://t.co/RkBrkWI5r9,kudap wajib lembur traktir
resign dengan alasan orang-orangnya pada toxic; sampai kapanpun kamu ga akan nemu lingkungan kerja yg seluruhnya supportive people. karena semua tempat pasti ada toxic peoplenya tinggal bagaimana kamu menoleransinya,jahat tempat pasti jahat toleransi
@hrdbacot Ini real alasan dari temen gw pas gw tanyain knp resign yang bikin emosi: Males kebanyakan nganggur nya jarang kerja baru gaji sama uang makan jalan terus ,real teman emosi malas jarang gaji uang makan jalan
Alasan resign nanti gk berkembang katanya. Lah kerja baru 6bln blm tentu jg lu diperpanjang kontrak pake bilang begitu. Kzl,kembang kontrak pakai
alasan resign kerja : gaji kurang kerjaan berat pengen manjangin rambut ,gaji kurang berat rambut
Satu persatu rekan kerja wanita resign yg baru ini dgn alasan ingin promil. Padahal menurut gue anaknya jg ngarsitek banget. Jago desainlah,rekan wanita program hamil jago desain
bener emang alasan resign tuh bukan cuma tentang gaji tapi kenyamanan mau lingkungan kerja temen kerja atau hal yg dikerjain. bahkan sekarang gw mikir kalimat resign terindah untuk bu kepsek :),gaji nyaman teman kalimat indah kepsek
Cah aku tau cari kerja itu susah apalagi saat pandemi. Tapi kalau kerja disini jadi beban banget dan mulai depresi disamping itu gajinya dibawah umk. Keluarga bilang buat jangan resign. Aku udah mikir buat nyakitin diri sendiri biar ada alasan libur kerja tiap hari (cont),susah pandemi beban depresi samping gaji keluarga sakit libur
Alasan resign dulu dari kerjaan karna mau nyari yg lebih baik begitu ada interview beberapa di kasih tau salary nya berapa dan jam kerja nya auto nyesel karna ninggalin kerjaan dulu nyesel mah terakhir wkwkwkwk:(((((,kasih gaji auto sesal sesal
anak freshgrad jaman now kerja 6 bulan bosen resign alasan ingin ngembangin karir. fact: insecure sm tmn krn dpt cuan lebih gede‍️,jaman bosan karir teman cuan gede
-rek seminggu kerja aku ws pgn resign aku ga betah Sama lingkungan dan jam kerjanya ga jls tapi bingung Alasan apa kalau resign,minggu betah bingung
Dulu sempet mau resign dri tempat kerja alasan nya capek cuma alasan utama nyaman adalah org2 sekitar. Sekarang ingin resign dri tempat kerja krna udh gk nyaman alasannya krna org2 sekitar juga yg sangat toxic :( inget yah toxic bukan hanya untuk org pacaran bgtupun pkerjaan,tempat capek utama nyaman tempat nyaman jahat jahat
Ada kejadian: HRD main ancam-ancam nyebarin data karyawan yang (terpaksa) resign karena harus nungguin ibunya yang sakit supaya ybs diblacklist HRD se-Jogja. Padahal perusahaan juga lalai bayarin gaji di awal bulan alias tidak memenuhi kewajiban. Ngeri betul.,main data karyawan paksa tunggu sakit lalai gaji alias penuh wajib ngeri
Sampai satu tahap bila dah terlampau stress dengan kerja mesti akan rasa macam nak resign kadang tak tahan dengan attitude environment ada jenis Yg buat kerja separuh jalan. Kadang datang kerja untuk dapatkan gaji bayar segala komitmen. Moga sabar rezeki milik Allah ,tahap lampau stres mesti rasa kadang tahan jenis paruh jalan kadang gaji bayar komitmen sabar rezeki milik
Jadi tetangga kantor udah resign Alasan bukan karna kerja yg capek bukan karna tempat kerja yg toxic bukan karna kepala yg semena2 tapi mau rehat ajaa capek sama semua yg dijalan eeh gimnasii maksudnyaa..,tetangga kantor capek tempat jahat kepala rehat capek jalan
@WhatsAbp @hrdbacot Alasan resignku terakhir mostly karena atasan yg toxic banget. Tapi waktu interview aku arahkan ke culture kerja yg kurang seusai sama visiku. Mungkin soal atasan toxic bisa dibungkus dengan alasan mencari tim yg bisa lebih saling support dalam kinerja untuk hasil lebih baik ,jahat waktu arah kurang visi jahat bungkus hasil
Mamaku sampe resign kerja karena aku sakit ngerasa bersalah bgt kya jd penghambat tujuan hidup mamaku tp alasan beliau resign juga ngerasa bersalah karena aku sakit akibat kurang keurus. Pusing tp ga bole stress tp kepikiran bgt kya terus-terusan membebani org rumah,sakit rasa salah kaya hambat tuju hidup beliau rasa salah sakit akibat kurang urus pusing stres kaya beban rumah
Waw keren sekali karyawan papa aku dia hamil ceritanya terus dia kerja dari rumah dengan alasan udah ga kuat ke kantor terus papa aku kasi kebijakan untuk gaji dia setengahnya eh dia minta cuti lahir tetap di gaji yaudah papa aku kasi eh kok abis cuti lahir resign,keren karyawan hamil rumah kuat kantor kasih bijak gaji cuti lahir gaji kasih habis cuti lahir
Kalau dari slip gajinya itu hrsnya masih dpt gaji secara prorate di sisa masa kerjanya. disitu tertulis 15.5 hari. Nah ini hrsnya masih terhitung kerja ya hrs dibayarkan Kalau ada potongan sebesar 99% itu artinya dia dihitung resign satu bulan sebelumnya dong?,slip gaji gaji sisa situ tulis hitung bayar potong besar arti hitung
Masalah utama dalam kerja yang menjadi alasan buat resign bukan gaji tapi rekan kerja yang kelakuan dan kinerjanya kaya tai Bgst emang,masalah utama gaji rekan laku tahi
lek wes ngene rasane kudu rabi trus resign dg alasan suami ga ngebolehin kerja lembur tp rabi iku yo guduk solusi dan pasti lebih ruweddddd,kudu rabi suami lembur rabi solusi pasti
Jujur gue kl ditanya alasan resign... selain mbamba toxic alasan lain adalah ANJJJJ cape gue ngadepin org2 oon yg mau kerja cm modal nitip ke lurah tp CV / Riwayat hidup aja gatau,jujur jahat capek modal lurah riwayat hidup
-rek aku punya temen yang gajinya itu lumayan diatas mmr tapi akhirnya dia resign juga dengan alasan lingkungan kerja yg kurang baik menurut dia. trs aku tanya ke kalian rek dari kasus di atas dalam pekerjaan itu apanyang paling dicari? coba aku pengn tau menurut kalian,teman gaji lumayan kurang
Kalo diinget2 dulu alasan resign di tempat kerja pertama adalah turun lapangan kadang sampe malem. Dilepas dahal gajinya gede. Nah skrg nerkma kerjaan yg pulang malem dg gaji standar. Pantesan aje mengcape dan mengeluhnya banyak. Astagfirullah inggi!,tempat turun lapang kadang malam lepas gaji besar pulang malam gaji standar keluh astagfirullah
Waktu kerja beberapa teman seangkatan mulai resign (dengan berbagai macam alasan). Ada perasaan sedih bahkan ada yang bikin nangis. Trus aku tanya rekan kerjaku yang udah belasan tahun kerja mas kalau ada teman seangkatan resign sedih ga? ,waktu teman angkat sedih menang rekan teman angkat sedih
work! tlg kasih alasan yg cocok buat resign dong aku spg kosmetik di mall dan baru 4hari kerja udh sakit2an dan cape bgt krn 8jam berdiri full : ) TIA,tolong kasih cocok kosmetik mall capek
menyampah betul dengan staff nurse acah savage ni kau dah lah masuk kerja kol 2 pastu baru kol 4 kau dah bermacam alasan haktuih lah kalau taknak keje resign tak guna kerja gaji tak berkat dahlah kerja dia pun aku kena buat BS,sampah staff acah gaji berkat kena
@hrdbacot Gue benci bgt sama bos di kantor yg lama karena menurut gue dia marahnya tuh gamasuk akal dan bikin mental down. Dari pada gue bertahan terus dan toxic yauda gue resign. Dan gue ga menyesal sama sekali malah feel free. Skrg dapet bos baik bgt Alhamdulillah.,benci kantor marah akal mental tahan jahat sesal
@catuaries Ya seharusnya perusahaan juga berkaca kenapa kok karyawatinya resign setelah lahiran? Jangan2 : - tidak menyediakan ruang laktasi utk busui - tidak memberikan waktu yg fleksibel utk busui perah ASI - working habitnya jelek membuat karyawan (tanpa kecuali) harus lembur tiap hari,kaca lahir sedia ruang laktasi busui waktu fleksibel busui perah jelek karyawan kecuali lembur
dulu pernah kerja dimana atasan gue kalo minta report kerjaan ngga liat-liat waktu bahkan pernah jam 02:00 pas weekend. akhirnya resign demi kesehatan mental wkwk gpp miskin duit daripada miskin mental w.,waktu sehat mental miskin duit miskin mental
Alasan malas pulkam : Tiap ketemu tante kakak sepupu pokoknya anggota keluarga yang lain pasti ditanya Kenapa resign? Bagusnya padahal tempat kerjamu yang kemarin. Lihat mi sampai sekarang susah ko dapat kerja apalagi pandemi . Sabar ipaa sabar,malas pulkam ketemu tante sepupu pokok anggota keluarga pasti bagus tempat kemarin lihat susah pandemi sabar sabar
11. Tambahan: setiap tempat kerja pasti ada suka dukanya. Entah beban kerja kolega atasan dsb. Jangan gampang kabur karena kerikil kecil yang pasti ada di mana pun. tapi jangan permisif dan cari pembenaran juga kalau kelewat toxic. Resign itu ga salah. Ambil cuti juga ga salah,tempat pasti suka duka beban kolega gampang kabur kerikil kecil pasti permisif jahat salah ambil cuti salah
Alih2 gw resign.. Country Manager yg dipecat. Krn ternyata CM kerjaannya busuk. Ksalahan kirim rate sbetulnya gak harus diperpanjang dan client gak masalah. Tp CM lebay. Dan gw naik gaji hampir 100%. Krn narik brand yg minta gw jd influencernya untuk jd client gede perusahaan. https://t.co/lRxgl1D7eL,manager pecat nyata busuk kirim masalah lebay naik gaji tarik besar
@salsyahirah77 Kerja pertama saya.Walaupun bidang tu mmg saya minat sangat dan saya suka denga kerja yg ada tapi sebab environment yg tak best...sgt tak best sampai pergi kerja pun nangis so saya ambil keputusan berhenti walaupun ditawarkan 8 bulan bonus. And that was the best decision,bidang minat suka pergi menang ambil putus henti tawar bonus
Jujur denger orang resign dengan alasan bosen sama lingkungan kerja atau gapuas sama gajinya itu bagiku rasanya pengen tak lempar. Bukannya invalidasi tapi dia gabersyukur udah punya kesempatan kerja tapi malah disia2kan. ,jujur dengar bosan gaji rasa lempar
@txtdarigajelas Bagiku tempat kerja yang toxic itu ngga bisa di rubah. Karena kebiasaannya sudah mendarah daging. Jadi pilihannya memang harus resign.,tempat jahat rubah darah daging pilih
Kerja sebaik2nya itu efeknya ke diri sendiri. Skill nambah gaji meningkat disukai perusahaan daya tawar makin tinggi. Bahwa seseorang resign trus langsung ada gantinya ya karena nature bisnis begitu harus bergerak cepat. Ini bukan alasan buat kamu kerja seadanya.,efek gaji tingkat suka daya tawar langsung ganti bisnis gerak cepat
Jadi aku resign bukan tanpa alasan ya kawan. Yang mau nawarin loker ke aku jangan mundur yah. 1. Aku kerja di Cikarang tp gaji pokok 2 5jt 2. Brangkat jam 8 pagi sering pulang jam 7-8 malem tanpa diitung lembur 3. Partner nya toxic parah 4. Dll Wajar kan kalo resign?,kawan tawar loker mundur gaji pokok pagi pulang malam lembur partner jahat parah wajar
@lasoleil_ @AREAJULID mba sepengalaman ku mending mundur krn aku mikir kesehatan mental aku lebih penting dri berapapun besar gaji dan setinggi apapun pangkat aku. masa iya aku udh ancur mentalnya dpt kerja malah dibikin makin ancur kan tujuan kerja dpt gaji juga buat benerin mental ini,mbak alam mending mundur sehat mental besar gaji pangkat hancur mental hancur tuju gaji mental
Tiada kenaikan gaji masalah pengurusan bebanan kerja yang banyak kekurangan fleksibiliti dan kewangan yang tidak sihat juga merupakan faktor mereka ingin berhenti. #AWANInews #AWANIpagi https://t.co/fQ6i9568PE,tiada naik gaji masalah urus beban kurang wang sehat rupa faktor henti
Masalah utama dalam kerja yang menjadi alasan buat resign bukan gaji tapi rekan kerja yg kelakuan dan kinerjanya kaya tai Bgst emang,masalah utama gaji rekan laku tahi
@hrdbacot nekad resign tanpa offering di tempat lain karena bos terlalu toxic temen kantor yg makin hari makin ga suportif kerja budak sistem kantor ancur ditambah penghasilan ga seberapa. paling kesel uang keperluan kantor gue yang nombok pas minta reimburse katanya tolong diikhlasin,nekad tempat jahat teman kantor suportif budak sistem kantor hancur hasil kesel uang kantor tolong
Work! Kalo di tempat kerja baru ditabya alasan resign di tempat lama aku jawabnya karena jarak dan gaji itu gpp kan yaa?,tempat tempat jarak gaji
Gue resign gaes Alasan palsu: dapet kerja di tempat lain Alasan asli: gaji gak sebanding bgt sama sistem kerja orang²nya toxic,palsu tempat asli gaji banding sistem jahat
Work! Wawancara kerja ditanya kenapa resign dari perusahaan lama terus jawabnya karna alasan finansial dan ga digaji 3 bulan etis ga ya?,wawancara finansial gaji etis
@hrdbacot Pernah diginiin gegara lembur terus2an mesti dirawat di rumkit 8 hari gegara kelelahan kronis + tipes + dbd. Hari ke-9 dijengukin teman setim yg bawa SK penurunan jabatan. Dilengserin cuy gegara sakit krn kerjaan Milih resign hari itu jg auto kelimpungan mereka ,lembur mesti rawat rumkit lelah kronis tipes teman bawa suka turun jabat sakit pilih auto kelimpungan
Work! Mau nanya kalian yang lolos c p n s dan mau resign kalau ditanya atasan+(misal) rekan kerja alasan kenapa resign dijawab jujur aja apa gimana ya? Butuh saran terima kasih,lolos rekan jujur butuh saran kasih
Alasan resign paling keren : Saya capek pak.. kerja tiap hari tapi gajiannya sebulan sekali.. ,keren capek gaji
Work! Aku mau resign dengan alasan gaji tidak sesuai dengan jobdesknya kira2 bakalan cepet di acc nggak? posisi aku masih sebulan kerja disini,gaji sesuai cepat posisi
Work! Rencananya aku mau resign karena udah 2th kerja ga ada kenaikan gaji yang signifikan malah beban kerja ditambah terus. Belum lagi di dept ku lemburan ga dibayar. Kira2 alasan resign ke atasan apa ya tanpa harus menjelekkan perusahaan?,rencana naik gaji signifikan beban lembur bayar jelek
@hrdbacot Pernah resign tanpa ada back up job lain gegara sayang mental sih. Lingkungan toxic over work lembur ga pernah dibayar dan weekend masih diribetin urusan kantor. Resign bulan Agustus dan baru dapet kerja lagi di bulan Januari. Note: Pastikan punya tabungan yg cukup sblm resign.,sayang mental jahat over lembur bayar urus kantor agustus januari pasti tabung cukup
@hrdbacot Just do your own work dude yang penting masih gajian dapet bonus sama THR Jangan ngiri/takut sama nepotism/favoritsm Gakuat tinggal resign cari dulu yang baru deh baru resign Jangan habiskan waktumu lama disitu apalagi jika jerih payah usahamu hanya dipandang sebelah mata,gaji bonus kuat habis waktu situ jerih payah pandang belah mata
Jadi inget pernah resign dgn alasan (salah satunya) gaji kurang sdgkn udah harus kontribusi ke keuangan keluarga. Alasan gue ga diterima. Lalu kata sang direktur Gue ga peduli keluarga lo. Yang gue peduli ya perusahaan gue. LAH YA IYA KALO SAYA PERGI KAN WIN WIN SOLUTION,salah gaji kurang kontribusi uang keluarga sang direktur peduli keluarga peduli pergi
 Keterlambatan insentif juga bahkan gaji yang kecil bagi pegawai tetap/PNS RS.. Ini juga menjadi sebab utama nakes sehingga terpaksa resign jelas Eva. #kumparanNews https://t.co/Ec3mAq2tiN,lambat insentif gaji kecil pegawai utama nakes paksa
Aku ada member yang tak boleh handle stress kerja sampai dia jadi lain macam ni lepas aku tengok dia dah resign baru la dia nampak dia bernyawa sikit. so apa aku boleh cakap dia depends kat diri sendiri. If kau boleh hadap kau hadap but if tak boleh jangan paksa diri.,stres lepas tengok nyawa sikit cakap hadap hadap paksa
@hrdbacot Temanku resign sbg manager waktu pandemi u/ mempertahankan karyawan lainnya. Katnya dia pikir dr pada karyawan lain hrus dirumahkan mending dia krn salarynya bs menutup beberp gji kryawan itu dan ngasih kesmptan jg asistenya untuk brkembang krn outo akan mengmbil wilyh kerjanya,teman manager waktu pandemi tahan karyawan karyawan rumah mending tutup gaji asih
Suasana kantor gak enak karena toxic environment baik dari bos maupun rekan kerja? Well kalo bisa diobrolin obrolin. Kalo emang udah gak tahan resign. Tapi kalo masih butuh duitnya dan gak bisa diomongin telen. Pait? Well welcome to life ,suasana kantor enak jahat rekan tahan butuh duit pahit
@jek___ #interviewngehe Kenapa kamu resign dr perusahaan sebelumnya? Capek Bu. Saya di sana kerja tiap hari tapi digajinya sebulan sekali Oke besok masuk kerja langsung saya gaji ,capek gaji besok langsung gaji
@SyukBagiKerja Saya baru 2 3 bulan stres rasa nak resign. Tup tup jadi 2 tahun kerja situ. Sebab fikir perlunya duit. Masa itu sudah kalis toxic dan handle stress with care dan juga membaca 55 Petua Seronoknya Bekerja https://t.co/DJEmdtaWE9,stres rasa situ fikir duit kalis jahat stres baca seronok
@radenrauf Keluar dr tempat kerja yg uda nyaman banget uda cocok sm lingkungan dan gaji tapi mutusin resign karna mau ke korea niat liburan sambil cari kerja dsna eh gak tau nya korona dasar aku sekarang menangis kan,tempat nyaman cocok gaji putus korea niat libur korona dasar menang
@aldinalsya @putripitaloka1 Bukan cuma itu aja sih alasannya bisa aja udah kerja tapi lingkungan toxic akhirnya keluar lingkungan bagus malah bosnya yg toxic dapet yg bagus tapi agak keteteran (misal jauh dari rumah atau kalau kos mahal) atau job desknya terlalu over jadi ngerasa sering stress dll,jahat bagus jahat bagus keteter jauh rumah mahal over rasa stres
fresh graduate jaman sekarang baru kerja 3 hari juga udah resign pake alasan lebih penting mental health ku. padahal jobdesk nya masih 2 point adaptasi lingkungan baru gamau intinya yang dia minta lingkungan kerja yg harus memahami dia dan gamau banyak jobdesk.,jaman pakai mental adaptasi inti paham
I let go kerjaan yang bayarannya bisa sampai di atas 70 juta sebulan because I felt no joy in doing it begadang nyaris setiap hari bahkan pernah dalam 4 hari tidur cuma 1-2 jam. At the end of the day I ve come to realized: I work to live not I live to work.,bayar juta begadang tidur come
Mba nya pasti ga pernah ngerasain rasanya di posisi capek secapek capek nya. Udah gitu lingkungan kerja toxic banget. Terus gabisa resign gitu aja karena (1) kontrak kerja dengan pinalti; (2) supporter keuangan keluarga; (3) gamau ngecewain orang yg disayang etc etc,mbak pasti rasai rasa posisi capek capek capek jahat kontrak pinalti uang keluarga sayang
 kalau tau work condition tak bagus kenapa tak quit je? guys guys i support resigning from toxic workplace if it greatly affects you i did twice. but finding a job is hard even before the pandemic. Please jangan mudah sangat cakap quit je.,bagus jahat mudah cakap
@hrdbacot Dude you can go big or go home. Lingkungan toxic kaya gitu emang langkah yang tepat untuk resign. Dan percaya deh you can be replaced anytime soon juga setelah resign. So what s the point of feeling ga enakan? *pengalaman pribadi*,jahat langkah percaya enak alam pribadi
Beberapa gw mengambil kasus mengenai resign dari kantor Alasan resign dari kantor karena lingkungan kerja toxic dan gaji kerja ga mencukupi You must be smart cara alokasi keuangan dan menahan keinginan Harus kenal diri sendiri lebih baiknya Keputusanmu pilihan masing2,ambil kena kantor kantor jahat gaji cukup alokasi uang tahan kenal putus pilih
@ezash Gue harinini resign padahal baru seminggu kerja hahah. Dikata sombong grgr sarjana sedangkan dia lulusan SMA padahal gue udah nyoba bangun komunikasi dia yg responnya jelek temen kerja pada cepuan wkwkw bodo amat demi kesehatan jiwa gue apaan kerja 12 jam kek robot,minggu sombong gara-gara sarjana lulus bangun komunikasi jelek teman cepu bodo sehat jiwa robot
@hrdbacot Gue resign karena auto kafir gak bisa shalat Jumat. Waktu jadi barista restoran Jepang di mall tempel sama hotel mewah di SCBD. Pas jam shalat Jumat adalah jam makan siang jadi gak bsa ditinggal itu meja bar lantaran gue gak ada back up.,auto kafir shalat jumat waktu barista restoran jepang mall tempel hotel mewah shalat jumat makan siang meja lantar
Kekadang orang luah stress kerja penat etc pun terus je dapat reply Bersyukur la ada pekerjaan. Kalau nak complain resign je ramai yg nak kerja tu. Kekadang kita nak luah je bukan nak apa pun. Some people really want to make us look bad &amp; feel unworthy.,kadang luah stres penat syukur ramai kadang luah pakai
Yang jelas resign karna sebel sama seseorang itu gak akan menyelesaikan masalah karna Anda potensi ketemu orang dgn sikap yg sama di tempat kerjaan baru nanti. Justru dengan menghadapi mereka Anda akan belajar mengembangkan interpersonal skill.,sebel selesai masalah potensi ketemu sikap tempat hadap ajar kembang interpersonal
kaget bgt sebulan resign tiba dapet chat dr mantan seniorku. aku resign salah satunya gara ni orang toxic bgt marah suka di grup. gue dulu disitu intern design grafis tp semua content ig 30hr gue yang buat &amp; dia cuma kerjain kerjaan miss aja work! https://t.co/r8j2P9JGrd,kaget mantan senior salah gara jahat marah suka grup situ intern grafis
Diceritain temen dia resign dari RSUD luar jawa terus mau kerja di Jawa dengan alasan gaji yang diberikan tidak sesuai dengan beban kerja dan ketika mau resign dipersulit karena dokter disana dikit (dia warlok sana). Yaaaa jadi gimana mau pemerataan dokter kalau problemnya gitu.,teman rsud jawa jawa gaji sesuai beban sulit dokter dikit perata dokter problem
@worksfess Ok mas indra orang resign itu pasti ada alasan entah kena lay off lingkungan toxic dll please jgn merendahkan orang yg kerja cuma setahun dua tahun. Heran bgt lambemu lamis betul.,indra pasti kena jahat rendah heran lambe
Antara sebab kenapa ramai berhenti kerja selain dari gaji: 1- Kurang dihargai 2- Kawan kerja yang toxic 3- Tak ada career growth 4- Jobscope &amp; beban kerja yang belambak 5- Job mismatch 6- Management merepek 7- Kebajikan pekerja diabaikan 8- Income jadi rider lagi tinggi,ramai henti gaji kurang harga kawan jahat beban repek kebaji abai
Kepada korang yang cakap nak resign tapi tak resign-2 lagi tu ni aku share kat korang template surat rasmi untuk resign bagi tempoh 24jam/Seminggu/Sebulan/Kesihatan. Share kat kawan-2 korang. Semoga membantu.,cakap surat tempoh bantu
Alasan kamu resign: dikasih kerja diluar kerjaan tp kaga lembur wkwkwk dan memgerjakan tugas manager wkwkwk lol,kasih kagak lembur tugas manager
Bener ya ternyata alesan orang resign kebanyakan karena lingkungan kerja yang toxic... Tpi yang aku bayangin tuh gak separah cerita mbak ini sih ternyata ada yg begitu Work! https://t.co/SeA7ATocXS,nyata jahat bayang parah mbak nyata
TW // resign Work! Gak ada istirahat. Selama 8 jam duduk depan komputer. Gak kuat nahan lapar sampe pusing mana punya magg. Tapi takut ngecewain ortu kalau resign https://t.co/7j8BSoRzG5,istirahat duduk komputer kuat tahan lapar pusing takut
Work! Resign karena boss yg toxic pas pindah 3 bulan kemudian si boss ikut pindah ke kantor baru dan jadi boss lagi,jahat kantor
Alasan resign dari perusahaan lama karena rekan kerja gaada yg tau windah basudara,rekan
